POPDB_ID,Status,POP Name,Address,Last Visit,Longitude,Latitude,POP Code,Contacts,Country,Channel,Retail Environment (PS),Sales Group Name,Customer,Sales Group Code,Customer Grade,External Store Code,Comments,Territory/Region
E8949AEC11A50604085FBBCFAA36C744,1,믿음약국(JDT)-부평 66592,인천시,2022-07-26,0,0,PHAR1300,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66592,상업적,
591C3736EA022F5792B7D9AA15538756,1,원당연세약국(JDT) 66594,인천시,2022-07-21,0,0,PHAR1301,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66594,상업적,
4C84D3E5E05C08FE97D13B002CA5D142,1,배곧정문약국(JDT) 66595,경기도,2022-07-05,0,0,PHAR1302,,Korea,OTC,Pharmacy,처방약국,소아과,K56,2,66595,상업적,
34F4E3CDF7973C6B23C1FAEEC0587F41,1,사랑가득무지개약국(JDT) 66596,경기도,2022-07-07,0,0,PHAR1303,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66596,복합적,
998FC1EF99BD21B87AA7F75FD5B6B47B,1,베데스다약국(JDT) 66597,경기도,2022-07-26,0,0,PHAR1304,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66597,복합적,
C253EACC307240A05E1970997C262F9C,1,주약국(JDT) 66598,경기도,2022-07-19,0,0,PHAR1305,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66598,학술적,
E28DE81099EF36A6885FE9BBE4EA13F8,1,메디팜상암약국(JDT) 66599,서울시,2022-07-25,0,0,PHAR1306,,Korea,OTC,Pharmacy,처방약국,소아과,K56,2,66599,복합적,
DAE878D30690D47C29D1214DD53847C3,1,백약국(JDT) 66600,부산시,2022-06-07,0,0,PHAR1307,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66600,복합적,
CBEEA436DF9ABEBF3256B44C1AB5865A,1,자연온누리약국(JDT) 66601,경기도,2021-12-21,0,0,PHAR1308,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66601,복합적,
5BB3FD3EC6E2C58437C3B6571849605B,1,메디팜일곡큰사랑약국(JDT) 66603,광주시,2022-07-26,0,0,PHAR1309,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66603,상업적,
DA677EBE285B9A1A61D71723C13B2A0C,1,보성약국(JDT) 66604,경기도,2022-07-26,0,0,PHAR1310,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66604,복합적,
5936CB207D4975E99C8AF9D7D92EF3FB,1,엔씨(NC)약국(JDT) 66605,서울시,2022-06-24,0,0,PHAR1311,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66605,상업적,
6F0066DAD2E3B3DA2AB8109938AF8299,1,센느약국(JDT)-오산 66611,경기도,2022-07-22,0,0,PHAR1312,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66611,복합적,
1A60561285C8B71C2F80EEAD04062562,1,로얄약국(JDT) 66614,경기도,2022-07-19,0,0,PHAR1313,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66614,복합적,
591B2EB4E972F4BC29E909B143736B54,1,생생약국(JDT) 66616,제주도,2022-01-04,0,0,PHAR1314,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66616,상업적,
9B01C0FB17C2E8FE66197C3A081CCD79,1,중앙약국(JDT)-팔달 66619,경기도,2022-06-29,0,0,PHAR1315,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66619,상업적,
6BE8719590DC77CAE3CD4851C4D2C483,1,자명약국(JDT) 66621,경기도,2022-07-20,0,0,PHAR1316,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66621,상업적,
FA1F16B5A4D424E42040CBBB381CB0A3,1,진한약국(JDT) 66622,서울시,2022-07-25,0,0,PHAR1317,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66622,상업적,
EE324AAD148155544EA16A96EDF80011,1,신영약국(JDT) 66623,경기도,2022-07-15,0,0,PHAR1318,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66623,복합적,
1AE1A5798482DACF591A775D5C73B8C6,1,열린온누리약국(JDT)-화성 66625,경기도,2022-05-24,0,0,PHAR1319,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66625,복합적,
871DD9E42FA1A989A884CF29D44B2B0D,1,하나로약국(JDT)-양주 66627,경기도,2022-05-09,0,0,PHAR1320,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66627,상업적,
